Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,1,2191903000,2013
総務費,2,総務費,2,59110491000,2013
市民費,3,市民費,3,4981763000,2013
民生費,4,民生費,4,2.39088E+11,2013
衛生費,5,衛生費,5,23126824000,2013
環境費,6,環境費,6,24561112000,2013
商工費,7,商工費,7,36440075000,2013
農政費,8,農政費,8,4726907000,2013
土木費,9,土木費,9,31348508000,2013
都市計画費,10,都市計画費,10,14890182000,2013
住宅費,11,住宅費,11,5461772000,2013
消防費,12,消防費,12,17275127000,2013
教育費,13,教育費,13,65299320000,2013
災害復旧費,14,災害復旧費,14,1000000,2013
諸支出金,15,諸支出金,15,1.80941E+11,2013
予備費,16,予備費,16,700000000,2013
